vref,source,target,total_score
GEN 1:1,en,am,0.58743953125
GEN 1:1,en,anfang,0.13618000000000002
GEN 1:1,en,schuf,0.13618000000000002
GEN 1:1,en,gott,0.023299999999999998
GEN 1:1,en,himmel,0.13618000000000002
GEN 1:1,en,und,0.11922046875
GEN 1:1,en,erde,0.33868
GEN 1:1,en,.,0.11922046875
GEN 1:1,el,am,0.44503460937500006
GEN 1:1,el,anfang,0.095190390625
GEN 1:1,el,schuf,0.095190390625
GEN 1:1,el,gott,-0.0034697656249999985
GEN 1:1,el,himmel,0.095190390625
GEN 1:1,el,und,0.17865953125
GEN 1:1,el,erde,0.20806078125000002
GEN 1:1,el,.,0.17865953125
GEN 1:1,principio,am,0.33868
GEN 1:1,principio,anfang,0.8170521875000001
GEN 1:1,principio,schuf,0.33868
GEN 1:1,principio,gott,0.066650390625
GEN 1:1,principio,himmel,0.33868
GEN 1:1,principio,und,0.031818234375
GEN 1:1,principio,erde,0.13618000000000002
GEN 1:1,principio,.,0.031818234375
GEN 1:1,",",am,0.09003839062499999
GEN 1:1,",",anfang,0.09003839062499999
GEN 1:1,",",schuf,0.525136671875
GEN 1:1,",",gott,0.005070234374999999
GEN 1:1,",",himmel,0.09003839062499999
GEN 1:1,",",und,0.18193630859375
GEN 1:1,",",erde,0.18632078125
GEN 1:1,",",.,0.16773953125000002
GEN 1:1,dios,am,0.030182234375
GEN 1:1,dios,anfang,0.030182234375
GEN 1:1,dios,schuf,0.030182234375
GEN 1:1,dios,gott,0.46884875
GEN 1:1,dios,himmel,0.030182234375
GEN 1:1,dios,und,0.31893992187500003
GEN 1:1,dios,erde,0.09128046875
GEN 1:1,dios,.,0.27602000000000004
GEN 1:1,creó,am,0.33868
GEN 1:1,creó,anfang,0.33868
GEN 1:1,creó,schuf,0.33868
GEN 1:1,creó,gott,0.512353828125
GEN 1:1,creó,himmel,0.33868
GEN 1:1,creó,und,0.031818234375
GEN 1:1,creó,erde,0.13618000000000002
GEN 1:1,creó,.,0.031818234375
GEN 1:1,los,am,0.23212000000000002
GEN 1:1,los,anfang,0.23212000000000002
GEN 1:1,los,schuf,0.23212000000000002
GEN 1:1,los,gott,0.028690390625
GEN 1:1,los,himmel,0.6426703125000001
GEN 1:1,los,und,-0.004449765625000002
GEN 1:1,los,erde,0.06856
GEN 1:1,los,.,-0.004449765625000002
GEN 1:1,cielos,am,0.23212000000000002
GEN 1:1,cielos,anfang,0.23212000000000002
GEN 1:1,cielos,schuf,0.23212000000000002
GEN 1:1,cielos,gott,0.028690390625
GEN 1:1,cielos,himmel,0.64491640625
GEN 1:1,cielos,und,-0.004449765625000002
GEN 1:1,cielos,erde,0.06856
GEN 1:1,cielos,.,-0.004449765625000002
GEN 1:1,y,am,0.032830234375
GEN 1:1,y,anfang,0.032830234375
GEN 1:1,y,schuf,0.032830234375
GEN 1:1,y,gott,0.14787953125
GEN 1:1,y,himmel,0.032830234375
GEN 1:1,y,und,0.5412071875000001
GEN 1:1,y,erde,0.10449246875
GEN 1:1,y,.,0.29252
GEN 1:1,la,am,0.052716
GEN 1:1,la,anfang,0.052716
GEN 1:1,la,schuf,0.052716
GEN 1:1,la,gott,0.08161013085937499
GEN 1:1,la,himmel,0.052716
GEN 1:1,la,und,0.217190546875
GEN 1:1,la,erde,0.11402255859374999
GEN 1:1,la,.,0.21178130615234375
GEN 1:1,tierra,am,0.118372
GEN 1:1,tierra,anfang,0.118372
GEN 1:1,tierra,schuf,0.118372
GEN 1:1,tierra,gott,0.009420000000000001
GEN 1:1,tierra,himmel,0.118372
GEN 1:1,tierra,und,0.08689046874999999
GEN 1:1,tierra,erde,0.68999875
GEN 1:1,tierra,.,0.08689046874999999
GEN 1:1,.,am,0.032830234375
GEN 1:1,.,anfang,0.032830234375
GEN 1:1,.,schuf,0.032830234375
GEN 1:1,.,gott,0.14787953125
GEN 1:1,.,himmel,0.032830234375
GEN 1:1,.,und,0.29252
GEN 1:1,.,erde,0.10449246875
GEN 1:1,.,.,0.8025784375
GEN 1:2,la,und,0.217190546875
GEN 1:2,la,die,0.5045140625
GEN 1:2,la,erde,0.11402255859374999
GEN 1:2,la,war,0.08837496533203125
GEN 1:2,la,wüst,0.0038600000000000023
GEN 1:2,la,und,0.217190546875
GEN 1:2,la,leer,0.0038600000000000023
GEN 1:2,la,",",0.34483204296875003
GEN 1:2,la,und,0.217190546875
GEN 1:2,la,es,-0.041889765625
GEN 1:2,la,war,0.08837496533203125
GEN 1:2,la,finster,0.0038600000000000023
GEN 1:2,la,auf,0.0038600000000000023
GEN 1:2,la,der,0.19314273124694825
GEN 1:2,la,tiefe,0.0038600000000000023
GEN 1:2,la,;,0.0038600000000000023
GEN 1:2,la,und,0.217190546875
GEN 1:2,la,der,0.19314273124694825
GEN 1:2,la,geist,0.0038600000000000023
GEN 1:2,la,gottes,0.0038600000000000023
GEN 1:2,la,schwebte,0.0038600000000000023
GEN 1:2,la,auf,0.0038600000000000023
GEN 1:2,la,dem,0.0038600000000000023
GEN 1:2,la,wasser,0.0038600000000000023
GEN 1:2,la,.,0.21178130615234375
GEN 1:2,tierra,und,0.08689046874999999
GEN 1:2,tierra,die,0.061306390625
GEN 1:2,tierra,erde,0.64285875
GEN 1:2,tierra,war,0.011190390625000001
GEN 1:2,tierra,wüst,0.076612
GEN 1:2,tierra,und,0.08689046874999999
GEN 1:2,tierra,leer,0.076612
GEN 1:2,tierra,",",0.011190390625000001
GEN 1:2,tierra,und,0.08689046874999999
GEN 1:2,tierra,es,0.011430390624999998
GEN 1:2,tierra,war,0.011190390625000001
GEN 1:2,tierra,finster,0.076612
GEN 1:2,tierra,auf,0.076612
GEN 1:2,tierra,der,0.02238
GEN 1:2,tierra,tiefe,0.076612
GEN 1:2,tierra,;,0.076612
GEN 1:2,tierra,und,0.08689046874999999
GEN 1:2,tierra,der,0.02238
GEN 1:2,tierra,geist,0.076612
GEN 1:2,tierra,gottes,0.076612
GEN 1:2,tierra,schwebte,0.076612
GEN 1:2,tierra,auf,0.076612
GEN 1:2,tierra,dem,0.076612
GEN 1:2,tierra,wasser,0.076612
GEN 1:2,tierra,.,0.08689046874999999
GEN 1:2,no,und,0.1244924578125
GEN 1:2,no,die,0.14501999999999998
GEN 1:2,no,erde,0.14084
GEN 1:2,no,war,0.13852
GEN 1:2,no,wüst,0.33868
GEN 1:2,no,und,0.1244924578125
GEN 1:2,no,leer,0.33868
GEN 1:2,no,",",0.13852
GEN 1:2,no,und,0.1244924578125
GEN 1:2,no,es,0.15552000000000002
GEN 1:2,no,war,0.13852
GEN 1:2,no,finster,0.33868
GEN 1:2,no,auf,0.33868
GEN 1:2,no,der,0.083050390625
GEN 1:2,no,tiefe,0.33868
GEN 1:2,no,;,0.33868
GEN 1:2,no,und,0.1244924578125
GEN 1:2,no,der,0.083050390625
GEN 1:2,no,geist,0.33868
GEN 1:2,no,gottes,0.33868
GEN 1:2,no,schwebte,0.33868
GEN 1:2,no,auf,0.33868
GEN 1:2,no,dem,0.33868
GEN 1:2,no,wasser,0.33868
GEN 1:2,no,.,0.039403434375000004
GEN 1:2,tenía,und,0.044652457812500004
GEN 1:2,tenía,die,0.14501999999999998
GEN 1:2,tenía,erde,0.14084
GEN 1:2,tenía,war,0.13852
GEN 1:2,tenía,wüst,0.33868
GEN 1:2,tenía,und,0.044652457812500004
GEN 1:2,tenía,leer,0.33868
GEN 1:2,tenía,",",0.13852
GEN 1:2,tenía,und,0.044652457812500004
GEN 1:2,tenía,es,0.15552000000000002
GEN 1:2,tenía,war,0.13852
GEN 1:2,tenía,finster,0.33868
GEN 1:2,tenía,auf,0.33868
GEN 1:2,tenía,der,0.083050390625
GEN 1:2,tenía,tiefe,0.33868
GEN 1:2,tenía,;,0.33868
GEN 1:2,tenía,und,0.044652457812500004
GEN 1:2,tenía,der,0.083050390625
GEN 1:2,tenía,geist,0.33868
GEN 1:2,tenía,gottes,0.33868
GEN 1:2,tenía,schwebte,0.33868
GEN 1:2,tenía,auf,0.33868
GEN 1:2,tenía,dem,0.33868
GEN 1:2,tenía,wasser,0.33868
GEN 1:2,tenía,.,0.039403434375000004
GEN 1:2,forma,und,0.0400778728515625
GEN 1:2,forma,die,0.14501999999999998
GEN 1:2,forma,erde,0.14084
GEN 1:2,forma,war,0.358351015625
GEN 1:2,forma,wüst,0.33868
GEN 1:2,forma,und,0.0400778728515625
GEN 1:2,forma,leer,0.33868
GEN 1:2,forma,",",0.13852
GEN 1:2,forma,und,0.0400778728515625
GEN 1:2,forma,es,0.15552000000000002
GEN 1:2,forma,war,0.358351015625
GEN 1:2,forma,finster,0.33868
GEN 1:2,forma,auf,0.33868
GEN 1:2,forma,der,0.083050390625
GEN 1:2,forma,tiefe,0.33868
GEN 1:2,forma,;,0.33868
GEN 1:2,forma,und,0.0400778728515625
GEN 1:2,forma,der,0.083050390625
GEN 1:2,forma,geist,0.33868
GEN 1:2,forma,gottes,0.33868
GEN 1:2,forma,schwebte,0.33868
GEN 1:2,forma,auf,0.33868
GEN 1:2,forma,dem,0.33868
GEN 1:2,forma,wasser,0.33868
GEN 1:2,forma,.,0.039403434375000004
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,die,0.11702449584960936
GEN 1:2,y,erde,0.10449246875
GEN 1:2,y,war,0.0788296123046875
GEN 1:2,y,wüst,0.25874822265624997
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,leer,0.26212822265625
GEN 1:2,y,",",0.07405208544921875
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,es,0.07140046875
GEN 1:2,y,war,0.0788296123046875
GEN 1:2,y,finster,0.24951622265625
GEN 1:2,y,auf,0.019010234375
GEN 1:2,y,der,0.16681953124999999
GEN 1:2,y,tiefe,0.019010234375
GEN 1:2,y,;,0.019010234375
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,der,0.16681953124999999
GEN 1:2,y,geist,0.019010234375
GEN 1:2,y,gottes,0.019010234375
GEN 1:2,y,schwebte,0.019010234375
GEN 1:2,y,auf,0.019010234375
GEN 1:2,y,dem,0.019010234375
GEN 1:2,y,wasser,0.019010234375
GEN 1:2,y,.,0.29252
GEN 1:2,estaba,und,0.11859245781250001
GEN 1:2,estaba,die,0.14501999999999998
GEN 1:2,estaba,erde,0.14084
GEN 1:2,estaba,war,0.13852
GEN 1:2,estaba,wüst,0.33868
GEN 1:2,estaba,und,0.11859245781250001
GEN 1:2,estaba,leer,0.33868
GEN 1:2,estaba,",",0.13852
GEN 1:2,estaba,und,0.11859245781250001
GEN 1:2,estaba,es,0.15552000000000002
GEN 1:2,estaba,war,0.13852
GEN 1:2,estaba,finster,0.33868
GEN 1:2,estaba,auf,0.33868
GEN 1:2,estaba,der,0.083050390625
GEN 1:2,estaba,tiefe,0.33868
GEN 1:2,estaba,;,0.33868
GEN 1:2,estaba,und,0.11859245781250001
GEN 1:2,estaba,der,0.083050390625
GEN 1:2,estaba,geist,0.33868
GEN 1:2,estaba,gottes,0.33868
GEN 1:2,estaba,schwebte,0.33868
GEN 1:2,estaba,auf,0.33868
GEN 1:2,estaba,dem,0.33868
GEN 1:2,estaba,wasser,0.33868
GEN 1:2,estaba,.,0.039403434375000004
GEN 1:2,vacía,und,0.044652457812500004
GEN 1:2,vacía,die,0.14501999999999998
GEN 1:2,vacía,erde,0.14084
GEN 1:2,vacía,war,0.13852
GEN 1:2,vacía,wüst,0.33868
GEN 1:2,vacía,und,0.044652457812500004
GEN 1:2,vacía,leer,0.33868
GEN 1:2,vacía,",",0.13852
GEN 1:2,vacía,und,0.044652457812500004
GEN 1:2,vacía,es,0.15552000000000002
GEN 1:2,vacía,war,0.13852
GEN 1:2,vacía,finster,0.33868
GEN 1:2,vacía,auf,0.33868
GEN 1:2,vacía,der,0.083050390625
GEN 1:2,vacía,tiefe,0.33868
GEN 1:2,vacía,;,0.33868
GEN 1:2,vacía,und,0.044652457812500004
GEN 1:2,vacía,der,0.083050390625
GEN 1:2,vacía,geist,0.33868
GEN 1:2,vacía,gottes,0.33868
GEN 1:2,vacía,schwebte,0.33868
GEN 1:2,vacía,auf,0.33868
GEN 1:2,vacía,dem,0.33868
GEN 1:2,vacía,wasser,0.33868
GEN 1:2,vacía,.,0.039403434375000004
GEN 1:2,",",und,0.18193630859375
GEN 1:2,",",die,0.18188078125
GEN 1:2,",",erde,0.18632078125
GEN 1:2,",",war,0.00822
GEN 1:2,",",wüst,0.052910390625000005
GEN 1:2,",",und,0.18193630859375
GEN 1:2,",",leer,0.052910390625000005
GEN 1:2,",",",",0.00822
GEN 1:2,",",und,0.18193630859375
GEN 1:2,",",es,-0.0016000000000000014
GEN 1:2,",",war,0.00822
GEN 1:2,",",finster,0.052910390625000005
GEN 1:2,",",auf,0.052910390625000005
GEN 1:2,",",der,0.12347999999999999
GEN 1:2,",",tiefe,0.052910390625000005
GEN 1:2,",",;,0.052910390625000005
GEN 1:2,",",und,0.18193630859375
GEN 1:2,",",der,0.12347999999999999
GEN 1:2,",",geist,0.052910390625000005
GEN 1:2,",",gottes,0.052910390625000005
GEN 1:2,",",schwebte,0.052910390625000005
GEN 1:2,",",auf,0.052910390625000005
GEN 1:2,",",dem,0.052910390625000005
GEN 1:2,",",wasser,0.052910390625000005
GEN 1:2,",",.,0.16773953125000002
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,die,0.11702449584960936
GEN 1:2,y,erde,0.10449246875
GEN 1:2,y,war,0.0788296123046875
GEN 1:2,y,wüst,0.25874822265624997
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,leer,0.26212822265625
GEN 1:2,y,",",0.07405208544921875
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,es,0.07140046875
GEN 1:2,y,war,0.0788296123046875
GEN 1:2,y,finster,0.24951622265625
GEN 1:2,y,auf,0.019010234375
GEN 1:2,y,der,0.16681953124999999
GEN 1:2,y,tiefe,0.019010234375
GEN 1:2,y,;,0.019010234375
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,der,0.16681953124999999
GEN 1:2,y,geist,0.019010234375
GEN 1:2,y,gottes,0.019010234375
GEN 1:2,y,schwebte,0.019010234375
GEN 1:2,y,auf,0.019010234375
GEN 1:2,y,dem,0.019010234375
GEN 1:2,y,wasser,0.019010234375
GEN 1:2,y,.,0.29252
GEN 1:2,la,und,0.217190546875
GEN 1:2,la,die,0.5045140625
GEN 1:2,la,erde,0.11402255859374999
GEN 1:2,la,war,0.08837496533203125
GEN 1:2,la,wüst,0.0038600000000000023
GEN 1:2,la,und,0.217190546875
GEN 1:2,la,leer,0.0038600000000000023
GEN 1:2,la,",",0.34483204296875003
GEN 1:2,la,und,0.217190546875
GEN 1:2,la,es,-0.041889765625
GEN 1:2,la,war,0.08837496533203125
GEN 1:2,la,finster,0.0038600000000000023
GEN 1:2,la,auf,0.0038600000000000023
GEN 1:2,la,der,0.19314273124694825
GEN 1:2,la,tiefe,0.0038600000000000023
GEN 1:2,la,;,0.0038600000000000023
GEN 1:2,la,und,0.217190546875
GEN 1:2,la,der,0.19314273124694825
GEN 1:2,la,geist,0.0038600000000000023
GEN 1:2,la,gottes,0.0038600000000000023
GEN 1:2,la,schwebte,0.0038600000000000023
GEN 1:2,la,auf,0.0038600000000000023
GEN 1:2,la,dem,0.0038600000000000023
GEN 1:2,la,wasser,0.0038600000000000023
GEN 1:2,la,.,0.21178130615234375
GEN 1:2,oscuridad,und,0.187772314453125
GEN 1:2,oscuridad,die,0.19770078125
GEN 1:2,oscuridad,erde,0.046054
GEN 1:2,oscuridad,war,0.19594078124999997
GEN 1:2,oscuridad,wüst,0.083050390625
GEN 1:2,oscuridad,und,0.187772314453125
GEN 1:2,oscuridad,leer,0.083050390625
GEN 1:2,oscuridad,",",0.19594078124999997
GEN 1:2,oscuridad,und,0.187772314453125
GEN 1:2,oscuridad,es,0.02374
GEN 1:2,oscuridad,war,0.19594078124999997
GEN 1:2,oscuridad,finster,0.083050390625
GEN 1:2,oscuridad,auf,0.083050390625
GEN 1:2,oscuridad,der,0.3450520703125
GEN 1:2,oscuridad,tiefe,0.083050390625
GEN 1:2,oscuridad,;,0.083050390625
GEN 1:2,oscuridad,und,0.187772314453125
GEN 1:2,oscuridad,der,0.3450520703125
GEN 1:2,oscuridad,geist,0.083050390625
GEN 1:2,oscuridad,gottes,0.083050390625
GEN 1:2,oscuridad,schwebte,0.083050390625
GEN 1:2,oscuridad,auf,0.083050390625
GEN 1:2,oscuridad,dem,0.083050390625
GEN 1:2,oscuridad,wasser,0.083050390625
GEN 1:2,oscuridad,.,0.18241953125000002
GEN 1:2,cubría,und,0.044652457812500004
GEN 1:2,cubría,die,0.14501999999999998
GEN 1:2,cubría,erde,0.14084
GEN 1:2,cubría,war,0.13852
GEN 1:2,cubría,wüst,0.33868
GEN 1:2,cubría,und,0.044652457812500004
GEN 1:2,cubría,leer,0.33868
GEN 1:2,cubría,",",0.13852
GEN 1:2,cubría,und,0.044652457812500004
GEN 1:2,cubría,es,0.15552000000000002
GEN 1:2,cubría,war,0.13852
GEN 1:2,cubría,finster,0.33868
GEN 1:2,cubría,auf,0.33868
GEN 1:2,cubría,der,0.083050390625
GEN 1:2,cubría,tiefe,0.33868
GEN 1:2,cubría,;,0.33868
GEN 1:2,cubría,und,0.044652457812500004
GEN 1:2,cubría,der,0.083050390625
GEN 1:2,cubría,geist,0.33868
GEN 1:2,cubría,gottes,0.33868
GEN 1:2,cubría,schwebte,0.33868
GEN 1:2,cubría,auf,0.33868
GEN 1:2,cubría,dem,0.33868
GEN 1:2,cubría,wasser,0.33868
GEN 1:2,cubría,.,0.039403434375000004
GEN 1:2,las,und,0.011930234374999998
GEN 1:2,las,die,0.097444
GEN 1:2,las,erde,0.085632
GEN 1:2,las,war,0.06970000000000001
GEN 1:2,las,wüst,0.20116879999999998
GEN 1:2,las,und,0.011930234374999998
GEN 1:2,las,leer,0.20116879999999998
GEN 1:2,las,",",0.06970000000000001
GEN 1:2,las,und,0.011930234374999998
GEN 1:2,las,es,0.07150000000000001
GEN 1:2,las,war,0.06970000000000001
GEN 1:2,las,finster,0.20116879999999998
GEN 1:2,las,auf,0.5517170812500001
GEN 1:2,las,auf,0.5626970812500001
GEN 1:2,las,der,0.046740390625
GEN 1:2,las,tiefe,0.20116879999999998
GEN 1:2,las,;,0.20116879999999998
GEN 1:2,las,und,0.011930234374999998
GEN 1:2,las,der,0.046740390625
GEN 1:2,las,geist,0.20116879999999998
GEN 1:2,las,gottes,0.20116879999999998
GEN 1:2,las,schwebte,0.20116879999999998
GEN 1:2,las,auf,0.5517170812500001
GEN 1:2,las,auf,0.5626970812500001
GEN 1:2,las,dem,0.20116879999999998
GEN 1:2,las,wasser,0.20116879999999998
GEN 1:2,las,.,0.011930234374999998
GEN 1:2,aguas,und,0.011930234374999998
GEN 1:2,aguas,die,0.097444
GEN 1:2,aguas,erde,0.085632
GEN 1:2,aguas,war,0.06970000000000001
GEN 1:2,aguas,wüst,0.20116879999999998
GEN 1:2,aguas,und,0.011930234374999998
GEN 1:2,aguas,leer,0.20116879999999998
GEN 1:2,aguas,",",0.06970000000000001
GEN 1:2,aguas,und,0.011930234374999998
GEN 1:2,aguas,es,0.07150000000000001
GEN 1:2,aguas,war,0.06970000000000001
GEN 1:2,aguas,finster,0.20116879999999998
GEN 1:2,aguas,auf,0.353917628125
GEN 1:2,aguas,der,0.046740390625
GEN 1:2,aguas,tiefe,0.20116879999999998
GEN 1:2,aguas,;,0.20116879999999998
GEN 1:2,aguas,und,0.011930234374999998
GEN 1:2,aguas,der,0.046740390625
GEN 1:2,aguas,geist,0.20116879999999998
GEN 1:2,aguas,gottes,0.20116879999999998
GEN 1:2,aguas,schwebte,0.20116879999999998
GEN 1:2,aguas,auf,0.353917628125
GEN 1:2,aguas,dem,0.20116879999999998
GEN 1:2,aguas,wasser,0.5613316125
GEN 1:2,aguas,.,0.011930234374999998
GEN 1:2,profundas,und,0.1068871990234375
GEN 1:2,profundas,die,0.14501999999999998
GEN 1:2,profundas,erde,0.14084
GEN 1:2,profundas,war,0.13852
GEN 1:2,profundas,wüst,0.33868
GEN 1:2,profundas,und,0.1068871990234375
GEN 1:2,profundas,leer,0.33868
GEN 1:2,profundas,",",0.13852
GEN 1:2,profundas,und,0.1068871990234375
GEN 1:2,profundas,es,0.15552000000000002
GEN 1:2,profundas,war,0.13852
GEN 1:2,profundas,finster,0.33868
GEN 1:2,profundas,auf,0.33868
GEN 1:2,profundas,der,0.083050390625
GEN 1:2,profundas,tiefe,0.33868
GEN 1:2,profundas,;,0.33868
GEN 1:2,profundas,und,0.1068871990234375
GEN 1:2,profundas,der,0.083050390625
GEN 1:2,profundas,geist,0.33868
GEN 1:2,profundas,gottes,0.33868
GEN 1:2,profundas,schwebte,0.33868
GEN 1:2,profundas,auf,0.33868
GEN 1:2,profundas,dem,0.33868
GEN 1:2,profundas,wasser,0.33868
GEN 1:2,profundas,.,0.039403434375000004
GEN 1:2,;,und,0.08689046874999999
GEN 1:2,;,die,0.042822390625
GEN 1:2,;,erde,0.048682390625
GEN 1:2,;,war,0.061508390625
GEN 1:2,;,wüst,0.12389999999999998
GEN 1:2,;,und,0.08689046874999999
GEN 1:2,;,leer,0.12389999999999998
GEN 1:2,;,",",0.061508390625
GEN 1:2,;,und,0.08689046874999999
GEN 1:2,;,es,0.6009920312499999
GEN 1:2,;,war,0.061508390625
GEN 1:2,;,finster,0.12389999999999998
GEN 1:2,;,auf,0.12389999999999998
GEN 1:2,;,der,0.018319999999999996
GEN 1:2,;,tiefe,0.12389999999999998
GEN 1:2,;,;,0.12389999999999998
GEN 1:2,;,und,0.08689046874999999
GEN 1:2,;,der,0.018319999999999996
GEN 1:2,;,geist,0.12389999999999998
GEN 1:2,;,gottes,0.12389999999999998
GEN 1:2,;,schwebte,0.12389999999999998
GEN 1:2,;,auf,0.12389999999999998
GEN 1:2,;,dem,0.12389999999999998
GEN 1:2,;,wasser,0.12389999999999998
GEN 1:2,;,.,0.08689046874999999
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,die,0.11702449584960936
GEN 1:2,y,erde,0.10449246875
GEN 1:2,y,war,0.0788296123046875
GEN 1:2,y,wüst,0.25874822265624997
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,leer,0.26212822265625
GEN 1:2,y,",",0.07405208544921875
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,es,0.07140046875
GEN 1:2,y,war,0.0788296123046875
GEN 1:2,y,finster,0.24951622265625
GEN 1:2,y,auf,0.019010234375
GEN 1:2,y,der,0.16681953124999999
GEN 1:2,y,tiefe,0.019010234375
GEN 1:2,y,;,0.019010234375
GEN 1:2,y,und,0.371182109375
GEN 1:2,y,der,0.16681953124999999
GEN 1:2,y,geist,0.019010234375
GEN 1:2,y,gottes,0.019010234375
GEN 1:2,y,schwebte,0.019010234375
GEN 1:2,y,auf,0.019010234375
GEN 1:2,y,dem,0.019010234375
GEN 1:2,y,wasser,0.019010234375
GEN 1:2,y,.,0.29252
GEN 1:2,el,und,0.17865953125
GEN 1:2,el,die,0.20894078125
GEN 1:2,el,erde,0.20806078125000002
GEN 1:2,el,war,0.010620000000000001
GEN 1:2,el,wüst,0.073370390625
GEN 1:2,el,und,0.17865953125
GEN 1:2,el,leer,0.073370390625
GEN 1:2,el,",",0.010620000000000001
GEN 1:2,el,und,0.17865953125
GEN 1:2,el,es,0.012740000000000001
GEN 1:2,el,war,0.010620000000000001
GEN 1:2,el,finster,0.073370390625
GEN 1:2,el,auf,0.073370390625
GEN 1:2,el,der,0.35384492187500005
GEN 1:2,el,tiefe,0.32265042187500004
GEN 1:2,el,;,0.3114313359375
GEN 1:2,el,und,0.17865953125
GEN 1:2,el,der,0.35384492187500005
GEN 1:2,el,geist,0.337062421875
GEN 1:2,el,gottes,0.073370390625
GEN 1:2,el,schwebte,0.073370390625
GEN 1:2,el,auf,0.073370390625
GEN 1:2,el,dem,0.073370390625
GEN 1:2,el,wasser,0.073370390625
GEN 1:2,el,.,0.17865953125
GEN 1:2,espíritu,und,0.039403434375000004
GEN 1:2,espíritu,die,0.14501999999999998
GEN 1:2,espíritu,erde,0.14084
GEN 1:2,espíritu,war,0.13852
GEN 1:2,espíritu,wüst,0.33868
GEN 1:2,espíritu,und,0.039403434375000004
GEN 1:2,espíritu,leer,0.33868
GEN 1:2,espíritu,",",0.13852
GEN 1:2,espíritu,und,0.039403434375000004
GEN 1:2,espíritu,es,0.15552000000000002
GEN 1:2,espíritu,war,0.13852
GEN 1:2,espíritu,finster,0.33868
GEN 1:2,espíritu,auf,0.33868
GEN 1:2,espíritu,der,0.21974227539062502
GEN 1:2,espíritu,tiefe,0.33868
GEN 1:2,espíritu,;,0.33868
GEN 1:2,espíritu,und,0.039403434375000004
GEN 1:2,espíritu,der,0.21974227539062502
GEN 1:2,espíritu,geist,0.33868
GEN 1:2,espíritu,gottes,0.33868
GEN 1:2,espíritu,schwebte,0.33868
GEN 1:2,espíritu,auf,0.33868
GEN 1:2,espíritu,dem,0.33868
GEN 1:2,espíritu,wasser,0.33868
GEN 1:2,espíritu,.,0.039403434375000004
GEN 1:2,de,und,0.07821446875
GEN 1:2,de,die,0.038370390625
GEN 1:2,de,erde,0.025370390625
GEN 1:2,de,war,0.23518
GEN 1:2,de,wüst,0.07793
GEN 1:2,de,und,0.07821446875
GEN 1:2,de,leer,0.07793
GEN 1:2,de,",",0.23518
GEN 1:2,de,und,0.07821446875
GEN 1:2,de,es,0.017290390625000002
GEN 1:2,de,war,0.23518
GEN 1:2,de,finster,0.07793
GEN 1:2,de,auf,0.11208527343750001
GEN 1:2,de,der,0.3521529296875
GEN 1:2,de,tiefe,0.07793
GEN 1:2,de,;,0.07793926256179809
GEN 1:2,de,und,0.07821446875
GEN 1:2,de,der,0.3521529296875
GEN 1:2,de,geist,0.07793
GEN 1:2,de,gottes,0.07793
GEN 1:2,de,schwebte,0.07793
GEN 1:2,de,auf,0.11208527343750001
GEN 1:2,de,dem,0.365533984375
GEN 1:2,de,wasser,0.07793
GEN 1:2,de,.,0.07821446875
GEN 1:2,dios,und,0.37917246093749996
GEN 1:2,dios,die,0.09746046875
GEN 1:2,dios,erde,0.09128046875
GEN 1:2,dios,war,0.06852446875
GEN 1:2,dios,wüst,0.0034502343749999997
GEN 1:2,dios,und,0.37917246093749996
GEN 1:2,dios,leer,0.0034502343749999997
GEN 1:2,dios,",",0.06852446875
GEN 1:2,dios,und,0.37917246093749996
GEN 1:2,dios,es,0.05725046874999999
GEN 1:2,dios,war,0.06852446875
GEN 1:2,dios,finster,0.0034502343749999997
GEN 1:2,dios,auf,0.0034502343749999997
GEN 1:2,dios,der,0.15577953125
GEN 1:2,dios,tiefe,0.0034502343749999997
GEN 1:2,dios,;,0.0034502343749999997
GEN 1:2,dios,und,0.37917246093749996
GEN 1:2,dios,der,0.15577953125
GEN 1:2,dios,geist,0.0034502343749999997
GEN 1:2,dios,gottes,0.0034502343749999997
GEN 1:2,dios,schwebte,0.0034502343749999997
GEN 1:2,dios,auf,0.0034502343749999997
GEN 1:2,dios,dem,0.0034502343749999997
GEN 1:2,dios,wasser,0.0034502343749999997
GEN 1:2,dios,.,0.27602000000000004
GEN 1:2,se,und,0.12018046875000002
GEN 1:2,se,die,0.33868
GEN 1:2,se,erde,0.094070390625
GEN 1:2,se,war,0.059290390625
GEN 1:2,se,wüst,0.14501999999999998
GEN 1:2,se,und,0.12018046875000002
GEN 1:2,se,leer,0.14501999999999998
GEN 1:2,se,",",0.059290390625
GEN 1:2,se,und,0.12018046875000002
GEN 1:2,se,es,0.063500390625
GEN 1:2,se,war,0.059290390625
GEN 1:2,se,finster,0.14501999999999998
GEN 1:2,se,auf,0.14501999999999998
GEN 1:2,se,der,0.48823968749999996
